site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log,springprev_point_norm,springprev_basinmean_norm,springprev_iew01km_norm,springprev_iew05km_norm,springprev_basinmean_log_norm,springprev_iew01km_log_norm,springprev_iew05km_log_norm
1,2.444940922211996,0.3446210026741028,0.13675252755932735,0.1416117695469125,0.1377244624678299,-1.9895823547844769,-1.9546659829074935,-1.9825002385692203,0.3765281161521061,0.34638010452152584,0.3229061546295203,0.3487701336216543,0.7886188842489419,0.7788590871690994,0.7899070126918741
2,3.058299129153476,0.22226600348949432,0.13360514557486913,0.13758101400874495,0.13442324936593808,-2.0128665038393123,-1.983542342590562,-2.006761879499796,0.24207671394077857,0.3382444236695259,0.3135317825405316,0.34023943384896843,0.783917910441629,0.7731425309772176,0.7850068886773349
3,3.55236628186959,0.5620329976081848,0.12763264607028665,0.1298863460296749,0.12810883285200106,-2.058599093848876,-2.0410954722260555,-2.0548751196696893,0.6154341499983023,0.3228060847268904,0.29563620935232926,0.3239222831963137,0.7746846888508709,0.7617489307038128,0.775289456775329
4,3.768222433547586,0.0664047971367836,0.11723470840534632,0.11435351195765207,0.11675439161505548,-2.1435772988787374,-2.168460646631205,-2.1476827675940635,0.07080657472192156,0.29592841217914395,0.2595113278483866,0.29458115122774176,0.7575279392055632,0.7365348737947365,0.756545094610031
5,6.79457582275622,0.05851919949054718,0.10195000042738515,0.08872700979326219,0.09948429672255334,-2.2832727777695676,-2.4221909287674164,-2.30775546915666,0.06214138189877289,0.256418906615867,0.19991149244445672,0.24995331593613226,0.7293239972998812,0.6863047398258723,0.7242152084640968
6,7.631473334022395,0.1019740030169487,0.0948015397856014,0.07781378860289534,0.09154167990274414,-2.3559696273889186,-2.553436632101737,-2.3909608923547414,0.10989226503291609,0.2379408208125493,0.17453049497159973,0.22942871561255773,0.7146468027358925,0.6603224676042947,0.7074102077834135
7,7.905074443475313,0.00488226022571325,0.09040807204211572,0.06918336496421923,0.08634796574862365,-2.4034217230690644,-2.67099483594746,-2.449370032876286,0.003201724814553767,0.22658412767169156,0.1544586246464313,0.2160075838084459,0.70506642003137,0.6370498638039342,0.6956133127194231
8,11.45638934656287,0.00683437008410692,0.07114290178820468,0.04084079256987733,0.06469068265087177,-2.6430647234679485,-3.198073879167875,-2.738138096332799,0.005346826440810827,0.17678550852751954,0.0885419951044549,0.1600427689671652,0.6566834851288352,0.532705791309941,0.6372908222323103
9,11.628653716392057,0.05911890044808388,0.06704727254575096,0.035084451669384,0.05998592332645641,-2.7023573479975385,-3.349997219033789,-2.813645355511282,0.06280037119373934,0.1661986993733528,0.07515441033000818,0.14788515052189372,0.6447125484102973,0.5026300366534059,0.6220406198642487
10,11.998415546842589,0.13110199570655823,0.06509872904801088,0.03554396199527573,0.05801538190846695,-2.7318502530302204,-3.3369849825794713,-2.8470470982780363,0.14189994340174522,0.16116190113845988,0.07622309850344175,0.1427930535540011,0.638758052339443,0.5052060255138291,0.61529446933275
11,13.154932208138815,0.08859749883413315,0.06326827166596512,0.03684187696813831,0.05626648019457548,-2.7603713129980174,-3.3011201197034747,-2.8776562995713317,0.09519331724941206,0.15643034419778712,0.07924167350266258,0.13827369809506568,0.632999767785017,0.5123060722716265,0.6091123284482017
12,13.771363676139172,0.18394599854946136,0.06170506397669904,0.03781873830177714,0.05475561476444614,-2.78538927726205,-3.2749505769170515,-2.904875362768431,0.199968271856129,0.15238960210545088,0.08151357055376464,0.1343694547204174,0.6279487438270217,0.5174867689902007,0.603614893810247
